gw,aku
gue,aku
lu,kamu
lo,kamu
elu,kamu
gak,tidak
nggak,tidak
ga,tidak
ngga,tidak
gk,tidak
tdk,tidak
yg,yang
dgn,dengan
dr,dari
ke,ke
utk,untuk
buat,untuk
tp,tapi
tapi,tetapi
krn,karena
karna,karena
udah,sudah
udh,sudah
dah,sudah
blm,belum
blum,belum
lg,lagi
lgi,lagi
aja,saja
aj,saja
doang,saja
emg,memang
emang,memang
sih,sih
deh,deh
dong,dong
nih,ini
tuh,itu
gitu,begitu
gini,begini
gimana,bagaimana
gmn,bagaimana
mana,bagaimana
knp,kenapa
kenapa,mengapa
bgt,banget
banget,sekali
bner,benar
bener,benar
bnr,benar
bisa,dapat
bs,bisa
mau,ingin
mo,mau
ama,sama
sama,dengan
juga,juga
jg,juga
ada,ada
uda,sudah
dulu,dahulu
dl,dahulu
sekarang,sekarang
skrg,sekarang
tau,tahu
tw,tahu
kalo,kalau
kl,kalau
kayak,seperti
kaya,seperti
udah,sudah
abis,habis
habis,setelah
abg,abang
kakak,kakak
adik,adik
brp,berapa
banyak,banyak
dikit,sedikit
bingung,bingung
pake,pakai
pakai,menggunakan
bikin,membuat
liat,melihat
lihat,melihat
bilang,berkata
ngomong,berbicara
ngomongin,membicarakan
nyuruh,menyuruh
kasih,memberikan
ngasih,memberikan
dapet,mendapat
dpt,mendapat
balik,kembali
balik,pulang
keliatan,terlihat
keliatan,tampak
